"question_titles","MP"
"Proposal to Consider Wholesale Insurance for Banks and Other Credit Card Issuers to Permit Easier Write-offs for Smaller Transaction Amounts","Jamus Lim"
"Criteria for Restrictions in Phase Three of Re-opening to be Lifted","Jamus Lim"
"Revamp of Bus Routes Given Staged Opening of Thomson-East Coast Line","Jamus Lim"
"Allocation of Vacancies for Primary 1 Registration and Funds Extended to Schools based on Number of Students Accepted at Phase 2A","Jamus Lim"
"Assessment Criteria in Granting Approval to Organise In-Person Global Conferences Amidst COVID-19 Pandemic","Jamus Lim"
"Measures to Prevent World Economic Forum’s Special Annual Meeting In Singapore from Becoming Super Spreader Event","Jamus Lim"
"POFMA Office's Actions In Regard To Misinformation about COVID-19 and COVID-19 Vaccination","Jamus Lim"
"Proposed Alternative Work Schedule for a Day Off After Working Extra Hour Every Day for Nine Days","Jamus Lim"
"Complaints over Construction Quality of HDB Flats","Jamus Lim"
"Payouts under Self-Employed Person Income Relief Scheme Subjected to Clawback","Jamus Lim"
"Rationale for Support Threshold in Jobs Growth Incentive Scheme","Jamus Lim"
"Singaporeans Earning $1,300 or Less a Month on Take-home Basis","Jamus Lim"
"Impact of National Wages Council 's 2020 Wage Cut Advisory on Salaries","Jamus Lim"
"Data on Jobs Support Scheme Beneficiaries","Jamus Lim"
"More Assistance for Low-wage and Elderly Jobseekers and for Students Majoring in Aerospace, Aviation and Hospitality","Jamus Lim"
"Fixing Defects Due to Design or Construction Flaws After Defects Liability Period","Jamus Lim"
"Alternatives to Stack Ranking Model for Appraisal of Teachers","Jamus Lim"
"Rationale to Link Workfare Special Payment to MediSave Contributions","Jamus Lim"
"Impact of COVID-19 on Foreign Students Who Need to Serve Out Their Tuition Bonds","Jamus Lim"
"Selective Weekend Entry Restrictions Imposed on Lucky Plaza and Peninsula Plaza","Jamus Lim"
"Trends of Healthcare Charges Due to Greater Access to Insurance that Reduces Individual Cost-sharing Burden","Jamus Lim"
"Per-flight Environmental Tax and Retaining Pilot’s Skills Via Flight Simulators Instead of Launching ""Flights to Nowhere""","Jamus Lim"
"Impact on Opertaional Readiness If Frequency of RSAF Sorties Reduced","Jamus Lim"
"Essential Services Disrupted by Isolation Measures at Foreign Worker Dormitories (Plans to ramp up services in affected estates)","Jamus Lim"
"Progress of Development on Thomson-East Coast Line Given Delays Due to COVID-19","Jamus Lim"
"Measures to Address Over-subscription During Primary 1 Registration Exercise in Bukit Batok and Sengkang","Jamus Lim"
"Measures to Help Singaporeans Cope with Rising Inflation and Impact of Government's Fiscal Support for Businesses and Households on Inflation","Leon Perera"
"Annual Acceptance Rate for Professional Conversion Programme for Applicants from Different Age Groups and Educational Qualifications","Leon Perera"
"Annual Number of Discrimination-related Claims Filed with Employment Claims Tribunal","Leon Perera"
"Proposal to Prohibit Employers from Requiring Retail Staff to Stand for Prolonged Periods","Leon Perera"
"Plans to Jumpstart Aviation Sector, Ensure Success of Singapore AirShow 2022 and Extend Vaccinated Travel Lanes Given Rise of COVID-19 Omicron Variant","Leon Perera"
"Update on COVID-19 Treatments, Vaccination Efficacy and Roll-out for Children and Booster Jabs","Leon Perera"
"Findings in Academic Freedom Survey 2021 by AcademiaSG","Leon Perera"
"Data on Socio-economic and Ethnic Profiles of Secondary Students and Ensuring Socio-economic Diversity in Schools","Leon Perera"
"Average Weekly Working Hours of Medical Housemen in Past Five Years and Measures to Reduce These Hours in Post-COVID-19 Environment","Leon Perera"
"Support for Cultural Associations to Document and Preserve Artefacts","Leon Perera"
"Review of Conditions in Migrant Worker Dormitories following Incident at Westlite Jalan Tukang Dormitory","Leon Perera"
"Take-up Rate of Diabetes Screening in Singapore in Past Three Years","Leon Perera"
"Take-up Rates for Digitalisation, Productivity and Succession Schemes for Hawkers in Past Three Years","Leon Perera"
"Criteria Used to Evaluate Success of Socially-conscious Enterprise Hawker Centres","Leon Perera"
"Updated Protocols for Serving Quarantine Orders at Home and Support Measures for Persons with Disabilities, the Young and the Elderly","Leon Perera"
"Update on Booster Programme Rollout and Help for Pregnant and Post-partum Women to Get COVID-19 Vaccine","Leon Perera"
"Arrangements for Support of Singaporeans who may be Living in Afghanistan (Aftermath of Taliban's takeover in Afghanistan)","Leon Perera"
"Flood Management and Adaptation Measures for Public Transport Systems","Leon Perera"
"Support for Singaporeans Living Abroad in Countries with Limited Access to COVID-19 Vaccinations","Leon Perera"
"Reasons for Merger and Alignment Plans for Yale-NUS College and other NUS Schools, and Impact on Students' Educational Experience","Leon Perera"
"Revising Start Time for Schools","Leon Perera"
"Pegging Temasek Holding’s Performance to Performance of Broad-based Market Indices","Leon Perera"
"Update on Government's Study on Use of Sustainable Aviation Fuels","Leon Perera"
"Proposal for MediSave Contribution Requirements to be Lowered Temporarily to Allow Self-Employed Persons to Qualify for Workfare Income Supplement","Leon Perera"
"Forged Educational Qualifications by Employment Pass and S Pass Holders in ICT Industry","Leon Perera"
"Five-year Recidivism Rates and Proportion of Current Inmates in Changi Prison who have been Imprisoned Before","Leon Perera"
"Proportion of Self-employed Persons that Could Not Receive COVID-19 Recovery Grants due to Insufficient MediSave Payments","Leon Perera"
"Steps to Reduce Wastage in Use of Physical Items in Public Service Spending","Leon Perera"
"Take-up Rate for Community Health Assessment Team's Services Since COVID-19 Pandemic","Leon Perera"
"Utilisation Rates and Profile of Residents at Safe, Sound Sleeping Places","Leon Perera"
"Measures to Limit Human Traffic to Core and Sensitive Nature Areas","Leon Perera"
"Attempts to Attack Singapore's Supply Chain Software","Leon Perera"
"Update on COVID-19-related Processes for Visitor Entry and Airport Worker Deployment","Leon Perera"
"Success Rate of ComCare Applications and Common Reasons for Rejection","Leon Perera"
"Proposal for Longer Leases for Livestock Farms beyond Current 20-year Lease","Leon Perera"
"Developments Ceased due to Findings from Environmental Impact Assessments and Built Heritage Evaluations","Leon Perera"
"Number of Companies in High-risk Industries Inspected by Government for Workplace Safety","Leon Perera"
"Impact of School Mergers on Students' Academic Performance and Development","Leon Perera"
"Government Spend on Preventive Care as a Proportion of Overall Spending on Healthcare Expenditure","Leon Perera"
"Number of and Reasons for Public Rental Flats Remaining Unoccupied Each Year","Leon Perera"
"Publishing Summaries of NAC's Consultations on Arts Management Issues","Leon Perera"
"Space Utilisation Rates at Goodman Arts Centre, Stamford Arts Centre and Aliwal Arts Centre","Leon Perera"
"Impact of Recent Egg Recalls on Supply and Prices","Leon Perera"
"Take-up Rate of Screen for Life Programme","Leon Perera"
"Applications for Rare Disease Fund","Leon Perera"
"Cases of Employers Repatriating Injured Migrant Workers against Their Will","Leon Perera"
"Concrete Steps by ASEAN to Facilitate Return to Stability in Myanmar","Leon Perera"
"Engaging Children of Drug Offenders to Mitigate Risks of Them Becoming Drug Offenders","Leon Perera"
"School Fees at Government-funded Special Education Schools","Leon Perera"
"Nature of Discrimination in Cases that Breached Tripartite Guidelines on Fair Employment Practices","Leon Perera"
"Availability of Industrial Attachments and Internships for Students in Future-ready Sectors","Leon Perera"
"Temporary Occupation Licences for Properties Already Acquired by and Reverted to Government","Leon Perera"
"Long-Term Visit Pass and LTVP Plus Holders in Workforce","Leon Perera"
"Rejection of Driving Licence Applications due to Applicants' Mental Illness","Leon Perera"
"Average Number of Occupants in 1- and 2-room Rental Flats","Leon Perera"
"Education for Singapore-based Businesses Venturing Overseas on Doing Business in Countries Facing Economic Sanctions","Leon Perera"
"Making Public Consultations Conducted by REACH","Leon Perera"
"Access to Government Documents in National Archives","Leon Perera"
"Heritage Impact Assessment for Proposed Redevelopment or Change to Land Use","Leon Perera"
"Effectiveness of Sexuality Programmes offered in Special Education Schools","Leon Perera"
"Licensing Regime for Provision of Complementary Alternative Therapy for Children with Autism","Leon Perera"
"Proposal for Projects with Four or Fewer Units to be Covered by Housing Developers (Control and Licensing) Act","Leon Perera"
"Employers' Obligation to Provide Sufficient Masks to Their Migrant Worker Employees","Leon Perera"
"Impact of Unhealthy Ageing on Medical Inflation","Leon Perera"
"Average Life Expectancy and Prevalence of Chronic Illnesses Amongst Different Groups of Singaporeans","Leon Perera"
"Applications Made for Rare Disease Fund","Leon Perera"
"Detention and Treatment under Mental Health (Care and Treatment) Act","Leon Perera"
"Heat-reduction Retrofits in HDB Upgrading and Estate Renewal Programmes","Leon Perera"
"COVID-19 Vaccination Roll-out for Migrant Workers","Leon Perera"
"Bullying in Schools","Leon Perera"
"Helping Companies Transit into TraceTogether-only SafeEntry Phase","Leon Perera"
"Payment of Fines by Instalments","Leon Perera"
"Preventing Doctors from Issuing Insufficient Medical Leave","Leon Perera"
"Children Separated from Parents Due to Immigration Status","Leon Perera"
"Health and Life Insurance for Persons with Disabilities","Leon Perera"
"Outcomes and Disbursals of Construction Productivity and Capability Fund","Leon Perera"
"Investigation Process for Complaints Lodged by Prison Inmates on Mistreatment","Leon Perera"
"Criteria or Indicators to Assess Mayors and Commuity Development Councils' Functions","Leon Perera"
"Impact of COVID-19 Circuit Breaker on Demand for HDB Rental Flats","Leon Perera"
"Environmental Implications of Indonesia's Omnibus Law for Singapore","Leon Perera"
"Applications for Drug Subsidy under Medication Assistance Fund Plus Scheme","Leon Perera"
"Monitoring Number and Severity of BTO Flat Defects Associated with Particular Contractors","Leon Perera"
"Digital Distribution of Government's Tourism Vouchers to Singaporeans including the Elderly and Extension of Use of Vouchers to Arts-related Activities","Leon Perera"
"Temasek Holdings' Influence on SIA Over Its Practice of Fuel Hedging","Leon Perera"
"Affordable and Comprehensive Insurance Coverage for Foreign Workers","Leon Perera"
"Complaints of Defects in New HDB BTO Flats","Leon Perera"
"Reviewing Healthcare Services Support Schemes for Healthcare Inflation","Leon Perera"
"Incentivising Public Transport Operators to Reduce Carbon Dioxide Emissions","Leon Perera"
"Transfer of SkillsFuture Credits between Family Members","Leon Perera"
"Support for Local Tavel Agencies and Tourism-related Businesses Amidst COVID-19 Lull","Leon Perera"
"Wireless@SG Hotspots for HDB Rental Blocks to Ensure Minimum Level of Internet Connectivity","Leon Perera"
"Daily Capacity for Conducting COVID-19 Tests","Leon Perera"
"Reasons for Recent Surge in Dengue Cases","Leon Perera"
"Statistics for COVID-19 Community Testing","Leon Perera"
"Addressing Mental Health Challenges Faced by Foreign Workers Affected by Isolation at Dormitories","Leon Perera"
"Impact of New PSLE Scoring System on Madrasahs' Primary School Admission Benchmark","Muhamad Faisal"
"Barring Individuals on Casino Control Act's Self-Exclusion Order and Family Exclusion Order from Placing Bets at Singapore Pools Outlets","Muhamad Faisal"
"Annual Number of Suicides and Attempted Suicides by Age, Race, Educational Level and Economic Background","Muhamad Faisal"
"Number of and Treatment for Those with Clinical Depression and Anxiety","Muhamad Faisal"
"Deployment of Riot Police at Jalan Tukang Westlite Dormitory on 13 October 2021","Muhamad Faisal"
"Impact of New Scoring System on Setting of PSLE Papers and Students Who Could Not Take PSLE Papers due to COVID-19 Issues","Muhamad Faisal"
"Utilisation Rate for Category D COEs Year-to-date and Proportion of Successful Bids by Commercial Entities and Individual Buyers","Muhamad Faisal"
"Fine Amount in Section 139 of Administration of Muslim Law Act","Muhamad Faisal"
"Factors in Pricing HDB Flats of Different Sizes","Muhamad Faisal"
"Reports of Sexually-explicit Online Posts Made to MUIS and MUIS' Response","Muhamad Faisal"
"Measures to Better Regulate Fluctuations in COE Prices","Muhamad Faisal"
"Clarification on Property at No 5 Lorong 9 Geylang","Muhamad Faisal"
"Profile of and Support for Zakat Beneficiaries","Muhamad Faisal"
"Mosques Facing Financial Difficulties Due to COVID-19 Pandemic","Muhamad Faisal"
"Investigation into Allegations of Abuse of Power in Madrasah Irsyad Zuhri Al-Islamiah","Muhamad Faisal"
"Prevalence of Cases of Firms Underpaying Foreign Staff","Muhamad Faisal"
"External Wall Seepages and Ceiling Leakages in HDB Flats","Muhamad Faisal"
"Utilisation Rates at ICA's Physical Counters","Muhamad Faisal"
"Average Length of Tenancy for Eateries at HDB Estates","Muhamad Faisal"
"Numbers Helped under Partners Engaging and Empowering Rough Sleepers Network","Muhamad Faisal"
"Discrimination Cases Dealt With by Tripartite Alliance for Fair and Progressive Employment Practices","Muhamad Faisal"
"Households that Have Benefited from Home Access 3.0 Programme for Minimum Broadband Speeds","Muhamad Faisal"
"Measures to Help Singaporeans Cope with Rising Inflation and Impact of Government's Fiscal Support for Businesses and Households on Inflation","Pritam Singh"
"Attrition Rates in Public Healthcare System and Nurses and Allied Health Professionals Recruited for Public Sector in 2021","Pritam Singh"
"Vaccination for Primary School Students and Possibility of Vaccination-differentiated Measures for Preschools and Primary Schools","Pritam Singh"
"Update on COVID-19 Treatments, Vaccination Efficacy and Roll-out for Children and Booster Jabs","Pritam Singh"
"Trend of Migrant Workers Staying in Dormitories Seeking Mental Healthcare","Pritam Singh"
"Review of Conditions in Migrant Worker Dormitories following Incident at Westlite Jalan Tukang Dormitory","Pritam Singh"
"Updated Protocols for COVID-19 Patients, Vaccination for Children and Delays in Response Time by Government COVID-19 Teams","Pritam Singh"
"Efforts to Reduce Costs of PCR Tests for Entry into and Exit from Singapore through Changi Airport","Pritam Singh"
"Update on Booster Programme Rollout and Help for Pregnant and Post-partum Women to Get COVID-19 Vaccine","Pritam Singh"
"Complaints Received about Safe Distancing Enforcement Officers and Training and Protocols for Them","Pritam Singh"
"Relaxation of Movement Restriction Orders on Migrant Workers Staying in Dormitories","Pritam Singh"
"Erroneous Payments of CPF Housing Grants as Highlighted in Auditor-General's Report for FY2020/2021","Pritam Singh"
"Contract and Payment Lapses Found in Auditor-General's Audits of People's Association for FY2020/2021","Pritam Singh"
"Government's Actions Following Auditor-General's Findings of Document Alterations and Irregularities for FY2020/2021","Pritam Singh"
"Proportion of Self-employed Persons that Could Not Receive COVID-19 Recovery Grants due to Insufficient MediSave Payments","Pritam Singh"
"Government's Response to Top Issues of Social Support, National Identity and Shared Values from Latest Emerging Stronger Conversations","Pritam Singh"
"Impact of COVID-19 Pandemic on Government's Population Strategies","Pritam Singh"
"Nationality and Gender of Singapore's Permanent Residents Pool","Pritam Singh"
"Corporate Tax Relief and Rebates Granted to Companies Annually from 2011 to 2020","Pritam Singh"
"Proposal to Set up Commission of Inquiry to Review Government's Response to COVID-19 Pandemic","Pritam Singh"
"Take-up Rate by Malay/Muslims of Existing National Financial and Estate Planning Programmes","Pritam Singh"
"Impact of Restricted Inflow of Foreign Workers on Population and Companies' Operations","Pritam Singh"
"Criteria for Inclusion of Medical Specialists into Insurer's Panel for Integrated Shield Plans","Pritam Singh"
"Singapore's Further Plans for COVID-19 Vaccination and Prevention of Surge in Community Cases Given New Virus Variants","Pritam Singh"
"Engaging Children of Drug Offenders to Mitigate Risks of Them Becoming Drug Offenders","Pritam Singh"
"Proportion of Outsourced Workers in Healthcare Institutions","Pritam Singh"
"Progress of Nation-wide COVID-19 Vaccination Programme","Pritam Singh"
"Payouts under Self-Employed Person Income Relief Scheme Subjected to Clawback","Pritam Singh"
"Trend of Neighbour Dispute Complaints Received by HDB Given Work-from-home Arrangements","Pritam Singh"
"Lessons on Operations and Safe Distancing Measures Gleaned from 14 October 2020 MRT Service Disruption Incident","Pritam Singh"
"Training Cybersecurity Experts for Singapore","Pritam Singh"
"Effectiveness of Professional Conversion Programme","Pritam Singh"
"Actions to Correct Lapses in Administration of Enterprise Development Grant","Pritam Singh"
"Developments on Fair Consideration Framework and Measures on Discriminatory Hiring Practices","Pritam Singh"
"Singapore's Contributions to Global Efforts to Combat COVID-19","Sylvia Lim"
"Vaccination for Primary School Students and Possibility of Vaccination-differentiated Measures for Preschools and Primary Schools","Sylvia Lim"
"Review of Enforcement Agencies' Investigation Protocols for Teenagers and Those with Special Needs","Sylvia Lim"
"Support for Industry and Consumers Given Higher Electricity Prices and Recent Exit of Electricity Retailers","Sylvia Lim"
"Updated Protocols for COVID-19 Patients, Vaccination for Children and Delays in Response Time by Government COVID-19 Teams","Sylvia Lim"
"Impact of Corrupt Transactions Involving Former LTA Deputy Group Director on Standards and Safety of Thomson-East Coast and Cross Island MRT Lines","Sylvia Lim"
"Update on Government Decisions and Measures as Singapore Moves into Endemic Stage of COVID-19 Situation","Sylvia Lim"
"Relaxation of Movement Restriction Orders on Migrant Workers Staying in Dormitories","Sylvia Lim"
"Erroneous Payments of CPF Housing Grants as Highlighted in Auditor-General's Report for FY2020/2021","Sylvia Lim"
"Extension of COVID-19 Vaccination to More Groups of Singaporeans","Sylvia Lim"
"Preparations for Singapore's Participation in Tokyo Olympics amidst COVID-19","Sylvia Lim"
"Further Actions by ASEAN for Myanmar's Political Situation following ASEAN Leaders' Meeting on 24 April 2021","Sylvia Lim"
"Singapore's Further Plans for COVID-19 Vaccination and Prevention of Surge in Community Cases Given New Virus Variants","Sylvia Lim"
"Update on Singapore's COVID-19 Vaccination Programme","Sylvia Lim"
"Facilitating Singaporeans Entering Malaysia to Take Care of Essential Personal Matters","Sylvia Lim"
"Impact of COVID-19 Pandemic on Waiting Time for Admission to Nursing Homes","Sylvia Lim"
"Progress of Nation-wide COVID-19 Vaccination Programme","Sylvia Lim"
"Tracking of Police's Performance in Investigating and Solving Crimes Involving Online Scams","Sylvia Lim"
"Details of COVID-19 Vaccination Roll-out Plan and Concerns on Efficacy of COVID-19 Vaccines","Sylvia Lim"
"Investigations into Complaints that Retrenchments Do Not Adequately Comply with Advisories to Retain Strong Singapore Core","Sylvia Lim"
"Profile of Employees Retrenched due to COVID-19 Pandemic","Sylvia Lim"
"Persuading GLCs to Prioritise Singaporean Jobs In Mass Retrenchment Exercises","Sylvia Lim"
